order_id,report_date,customer_name,order_level,shipping_type,area,province,city,product_type,product_sub_type,product_name,product_box,order_number,order_amt,back_point,profit_amt,price,shipping_cost,shipping_date
225,2022/8/14 00:00,Ali,L1,Plain,Center,Hunan,Changsha,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,42,229.88,0.05,-75.25,5.28,5.06,2022/8/15 00:00
420,2023/1/20 00:00,Ali,L1,Plain,Northwest,Shanxi,Baoji,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,50,99.08,0.01,11.28,1.76,0.7,2023/1/20 00:00
548,2020/12/11 00:00,Ali,L1,Train,Center,Henan,Zhengzhou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,66,2876.77,0.09,-1078.79,88.06,56.1,2020/12/13 00:00
1028,2020/3/28 00:00,Ali,L1,Train,Center,Henan,Zhumadian,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,30,932.892,0.05,458.98,35.99,0.99,2020/3/30 00:00
2307,2021/9/18 00:00,Ali,L1,Train,East,Zhejiang,Quzhou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,39,4226.3125,0.15,495.65,259.97,10.76,2021/9/18 00:00
3202,2024/3/15 00:00,Ali,L1,Train,East,Zhejiang,Wenzhou,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,7,181.32,0.03,80.32,25.38,8.99,2024/3/19 00:00
5281,2023/1/22 00:00,Ali,L1,Train,East,Zhejiang,Zhoushan,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,38,1438.19,0.13,155.68,107.46,14.67,2023/1/23 00:00
5446,2020/9/10 00:00,Ali,L1,Train,North,Neimenggu,Wulanchabu,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,123,3110.46,0.31,471.48,142.46,24.61,2020/9/17 00:00
6116,2020/6/10 00:00,Ali,L1,Train,North,Shanxi,Lvliang,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,36,1646.05,0.08,649.8,48.04,7.23,2020/6/12 00:00
8450,2023/7/5 00:00,Ali,L1,Train,Northeast,Heilongjiang,Jixi,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,45,2007.037,0.02,408.65,86.98,9.98,2023/7/7 00:00
8835,2021/1/3 00:00,Ali,L1,Train,Northeast,Jilin,Siping,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,5,70.33,0.1,1.07,15.04,1.97,2021/1/4 00:00
9127,2022/12/31 00:00,Ali,L1,Train,Northeast,Jilin,Songyuan,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,22,138.24,0.06,-48.22,6.37,5.19,2023/1/2 00:00
9155,2023/11/21 00:00,Ali,L1,Train,Northeast,Liaoning,Shenyang,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,27,153.23,0.08,-95.15,5.98,4.69,2023/11/22 00:00
10052,2020/11/28 00:00,Ali,L1,Train,Northwest,Shanxi,Tongchuan,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,24,138.75,0.09,49.81,5.84,1,2020/11/29 00:00
10117,2022/2/6 00:00,Ali,L1,Train,South,Guangdong,Guangzhou,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,18,23792.93,0,10951.31,1270.99,19.99,2022/2/7 00:00
10183,2021/2/14 00:00,Ali,L1,Train,South,Guangdong,Meizhou,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,7,120.03,0.02,-56.06,15.7,11.25,2021/2/15 00:00
10470,2023/7/26 00:00,Ali,L1,Train,South,Guangxi,Baise,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,44,3421.88,0,443.52,73.98,4,2023/7/31 00:00
11431,2023/10/23 00:00,Ali,L1,Train,South,Guangxi,Guigang,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,1,70.91,0.03,-45.43,70.97,3.5,2023/10/25 00:00
11456,2021/7/3 00:00,Ali,L1,Train,South,Guangxi,Yulin,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,21,1537.5,0.04,-531.92,70.98,35,2021/7/10 00:00
11460,2021/11/14 00:00,Ali,L1,Train,South,Hainan,Sansha,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,4,33.44,0.1,-6.88,8.01,2.87,2021/11/16 00:00
11972,2020/3/26 00:00,Ali,L1,Train,South,Hainan,Sansha,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,27,109.92,0.06,24.75,3.98,0.83,2020/3/28 00:00
13027,2023/4/7 00:00,Ali,L1,Train,South,Hainan,Sanya,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,59,6006.602,0.18,-443.39,213.26,66.19,2023/4/9 00:00
13218,2020/8/6 00:00,Ali,L1,Train,South,Hainan,Sanya,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,13,728.025,0.04,20,65.99,2.5,2020/8/8 00:00
14114,2020/6/27 00:00,Ali,L1,Truck,Center,Henan,Luohe,Technique,Machines,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,1,2728.65,0,-5572.39,2550.14,29.7,2020/6/27 00:00
14789,2022/2/19 00:00,Ali,L1,Truck,Northeast,Liaoning,Dalian,Furniture,Table,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,57,8421.572,0.13,1834.46,289.65,39.17,2022/2/21 00:00
